Year,Round,Region Number,Region Name,SeedA,ScoreA,TeamA,TeamB,ScoreB,SeedB
2003,5,2,Final Four,1,84,Texas,Syracuse,95,3
2003,6,1,Championship,2,78,Kansas,Syracuse,81,3
2004,1,1,Midwest,1,96,Kentucky,Florida A&M,76,16
2004,1,1,Midwest,2,76,Gonzaga,Valparaiso,49,15
2004,1,1,Midwest,3,65,Georgia Tech,Northern Iowa,60,14
2004,1,1,Midwest,4,78,Kansas,Illinois Chicago,53,13
2004,1,1,Midwest,5,58,Providence,Pacific,66,12
2004,1,1,Midwest,6,58,Boston College,Utah,51,11
2004,1,1,Midwest,7,66,Michigan St,Nevada,72,10
2004,1,1,Midwest,8,100,Washington,UAB,102,9
2004,1,2,East,1,82,St Josephs,Liberty,63,16
2004,1,2,East,2,75,Oklahoma St,Eastern Washington,56,15
2004,1,2,East,3,53,Pittsburgh,Central Florida,44,14
2004,1,2,East,4,79,Wake Forest,VCU,78,13
2004,1,2,East,5,60,Florida,Manhattan,75,12
2004,1,2,East,6,76,Wisconsin,Richmond,64,11
2004,1,2,East,7,59,Memphis,South Carolina,43,10
2004,1,2,East,8,76,Texas Tech,Charlotte,73,9
2004,1,3,South,1,96,Duke,Alabama St,61,16
2004,1,3,South,2,85,Mississippi St,Monmouth,52,15
2004,1,3,South,3,66,Texas,Princeton,49,14
2004,1,3,South,4,80,Cincinnati,East Tennessee St,77,13
2004,1,3,South,5,72,Illinois,Murray St,53,12
2004,1,3,South,6,63,North Carolina,Air Force,52,11
2004,1,3,South,7,80,Xavier,Louisville,70,10
2004,1,3,South,8,80,Seton Hall,Arizona,76,9
2004,1,4,West,1,71,Stanford,Texas San Antonio,45,16
2004,1,4,West,2,70,Connecticut,Vermont,53,15
2004,1,4,West,3,61,NC State,Louisiana Lafayette,52,14
2004,1,4,West,4,86,Maryland,UTEP,83,13
2004,1,4,West,5,80,Syracuse,BYU,75,12
2004,1,4,West,6,71,Vanderbilt,Western Michigan,58,11
2004,1,4,West,7,76,DePaul,Dayton,69,10
2004,1,4,West,8,65,Alabama,Southern Illinois,64,9
2004,2,1,Midwest,1,75,Kentucky,UAB,76,9
2004,2,1,Midwest,2,72,Gonzaga,Nevada,91,10
2004,2,1,Midwest,3,57,Georgia Tech,Boston College,54,6
2004,2,1,Midwest,4,78,Kansas,Pacific,63,12
2004,2,2,East,1,70,St Josephs,Texas Tech,65,8
2004,2,2,East,2,70,Oklahoma St,Memphis,53,7
2004,2,2,East,3,59,Pittsburgh,Wisconsin,55,6
2004,2,2,East,4,84,Wake Forest,Manhattan,80,12
2004,2,3,South,1,90,Duke,Seton Hall,62,8
2004,2,3,South,2,74,Mississippi St,Xavier,89,7
2004,2,3,South,3,78,Texas,North Carolina,75,6
2004,2,3,South,4,68,Cincinnati,Illinois,92,5
2004,2,4,West,1,67,Stanford,Alabama,70,8
2004,2,4,West,2,72,Connecticut,DePaul,55,7
2004,2,4,West,3,73,NC State,Vanderbilt,75,6
2004,2,4,West,4,70,Maryland,Syracuse,72,5
2004,3,1,Midwest,9,74,UAB,Kansas,100,4
2004,3,1,Midwest,10,67,Nevada,Georgia Tech,72,3
2004,3,2,East,1,84,St Josephs,Wake Forest,80,4
2004,3,2,East,2,63,Oklahoma St,Pittsburgh,51,3
2004,3,3,South,1,72,Duke,Illinois,62,5
2004,3,3,South,7,79,Xavier,Texas,71,3
2004,3,4,West,8,80,Alabama,Syracuse,71,5
2004,3,4,West,2,73,Connecticut,Vanderbilt,53,6
2004,4,1,Midwest,4,71,Kansas,Georgia Tech,79,3
2004,4,2,East,1,62,St Josephs,Oklahoma St,64,2
2004,4,3,South,1,66,Duke,Xavier,63,7
2004,4,4,West,8,71,Alabama,Connecticut,87,2
2004,5,1,Final Four,3,67,Georgia Tech,Oklahoma St,65,2
2004,5,2,Final Four,1,78,Duke,Connecticut,79,2
2004,6,1,Championship,3,73,Georgia Tech,Connecticut,82,2
2005,1,1,Midwest,1,67,Illinois,Fairleigh Dickinson,55,16
2005,1,1,Midwest,2,63,Oklahoma St,Southeastern Louisiana,50,15
2005,1,1,Midwest,3,66,Arizona,Utah St,53,14
2005,1,1,Midwest,4,85,Boston College,Pennsylvania,65,13
2005,1,1,Midwest,5,73,Alabama,Wisconsin Milwaukee,83,12
2005,1,1,Midwest,6,68,LSU,UAB,82,11
2005,1,1,Midwest,7,65,Southern Illinois,St Marys,56,10
2005,1,1,Midwest,8,57,Texas,Nevada,61,9
2005,1,2,West,1,88,Washington,Montana,77,16
2005,1,2,West,2,70,Wake Forest,Chattanooga,54,15
2005,1,2,West,3,74,Gonzaga,Winthrop,64,14
2005,1,2,West,4,68,Louisville,Louisiana Lafayette,62,13
2005,1,2,West,5,80,Georgia Tech,George Washington,68,12
2005,1,2,West,6,78,Texas Tech,UCLA,66,11
2005,1,2,West,7,63,West Virginia,Creighton,61,10
2005,1,2,West,8,79,Pacific,Pittsburgh,71,9
2005,1,3,East,1,96,North Carolina,Oakland,68,16
2005,1,3,East,2,77,Connecticut,Central Florida,71,15
2005,1,3,East,3,63,Kansas,Bucknell,64,14
2005,1,3,East,4,67,Florida,Ohio,62,13
2005,1,3,East,5,55,Villanova,New Mexico,47,12
2005,1,3,East,6,57,Wisconsin,Northern Iowa,52,11
2005,1,3,East,7,63,Charlotte,NC State,75,10
2005,1,3,East,8,53,Minnesota,Iowa St,64,9
2005,1,4,South,1,63,Duke,Delaware St,46,16
2005,1,4,South,2,72,Kentucky,Eastern Kentucky,64,15
2005,1,4,South,3,84,Oklahoma,Niagara,67,14
2005,1,4,South,4,57,Syracuse,Vermont,60,13
2005,1,4,South,5,89,Michigan St,Old Dominion,81,12
2005,1,4,South,6,60,Utah,UTEP,54,11
2005,1,4,South,7,76,Cincinnati,Iowa,64,10
2005,1,4,South,8,70,Stanford,Mississippi St,93,9
2005,2,1,Midwest,1,71,Illinois,Nevada,59,9
2005,2,1,Midwest,2,85,Oklahoma St,Southern Illinois,77,7
2005,2,1,Midwest,3,85,Arizona,UAB,63,11
2005,2,1,Midwest,4,75,Boston College,Wisconsin Milwaukee,83,12
2005,2,2,West,1,97,Washington,Pacific,79,8
2005,2,2,West,2,105,Wake Forest,West Virginia,111,7
2005,2,2,West,3,69,Gonzaga,Texas Tech,71,6
2005,2,2,West,4,76,Louisville,Georgia Tech,54,5
2005,2,3,East,1,92,North Carolina,Iowa St,65,9
2005,2,3,East,2,62,Connecticut,NC State,65,10
2005,2,3,East,14,62,Bucknell,Wisconsin,71,6
2005,2,3,East,4,65,Florida,Villanova,76,5
2005,2,4,South,1,63,Duke,Mississippi St,55,9
2005,2,4,South,2,69,Kentucky,Cincinnati,60,7
2005,2,4,South,3,58,Oklahoma,Utah,67,6
2005,2,4,South,13,61,Vermont,Michigan St,72,5
2005,3,1,Midwest,1,77,Illinois,Wisconsin Milwaukee,63,12
2005,3,1,Midwest,2,78,Oklahoma St,Arizona,79,3
2005,3,2,West,1,79,Washington,Louisville,93,4
2005,3,2,West,7,65,West Virginia,Texas Tech,60,6
2005,3,3,East,1,67,North Carolina,Villanova,66,5
2005,3,3,East,10,56,NC State,Wisconsin,65,6
2005,3,4,South,1,68,Duke,Michigan St,78,5
2005,3,4,South,2,62,Kentucky,Utah,52,6
2005,4,1,Midwest,1,90,Illinois,Arizona,89,3
2005,4,2,West,4,93,Louisville,West Virginia,85,7
2005,4,3,East,1,88,North Carolina,Wisconsin,82,6
2005,4,4,South,5,94,Michigan St,Kentucky,88,2
2005,5,1,Final Four,1,72,Illinois,Louisville,57,4
2005,5,2,Final Four,1,87,North Carolina,Michigan St,71,5
2005,6,1,Championship,1,70,Illinois,North Carolina,75,1
2006,1,1,South,1,70,Duke,Southern,54,16
2006,1,1,South,2,60,Texas,Pennsylvania,52,15
2006,1,1,South,3,63,Iowa,Northwestern St,64,14
2006,1,1,South,4,80,LSU,Iona,64,13
2006,1,1,South,5,58,Syracuse,Texas A&M,66,12
2006,1,1,South,6,64,West Virginia,Southern Illinois,46,11
2006,1,1,South,7,52,California,NC State,58,10
2006,1,1,South,8,88,George Washington,UNC Wilmington,85,9
2006,1,2,West,1,94,Memphis,Oral Roberts,78,16
2006,1,2,West,2,78,UCLA,Belmont,44,15
2006,1,2,West,3,79,Gonzaga,Xavier,75,14
2006,1,2,West,4,73,Kansas,Bradley,77,13
2006,1,2,West,5,79,Pittsburgh,Kent St,64,12
2006,1,2,West,6,87,Indiana,San Diego St,83,11
2006,1,2,West,7,85,Marquette,Alabama,90,10
2006,1,2,West,8,55,Arkansas,Bucknell,59,9
2006,1,3,East,1,72,Connecticut,Albany,59,16
2006,1,3,East,2,63,Tennessee,Winthrop,61,15
2006,1,3,East,3,69,North Carolina,Murray St,65,14
2006,1,3,East,4,78,Illinois,Air Force,69,13
2006,1,3,East,5,75,Washington,Utah St,61,12
2006,1,3,East,6,65,Michigan St,George Mason,75,11
2006,1,3,East,7,86,Wichita St,Seton Hall,66,10
2006,1,3,East,8,69,Kentucky,UAB,64,9
2006,1,4,Midwest,1,58,Villanova,Monmouth,45,16
2006,1,4,Midwest,2,70,Ohio St,Davidson,62,15
2006,1,4,Midwest,3,76,Florida,South Alabama,50,14
2006,1,4,Midwest,4,88,Boston College,Pacific,76,13
2006,1,4,Midwest,5,79,Nevada,Montana,87,12
2006,1,4,Midwest,6,74,Oklahoma,Wisconsin Milwaukee,82,11
2006,1,4,Midwest,7,54,Georgetown,Northern Iowa,49,10
2006,1,4,Midwest,8,94,Arizona,Wisconsin,75,9
2006,2,1,South,1,74,Duke,George Washington,61,8
2006,2,1,South,2,75,Texas,NC State,54,10
2006,2,1,South,14,54,Northwestern St,West Virginia,67,6
2006,2,1,South,4,58,LSU,Texas A&M,57,12
2006,2,2,West,1,72,Memphis,Bucknell,56,9
2006,2,2,West,2,62,UCLA,Alabama,59,10
2006,2,2,West,3,90,Gonzaga,Indiana,80,6
2006,2,2,West,13,72,Bradley,Pittsburgh,66,5
2006,2,3,East,1,87,Connecticut,Kentucky,83,8
2006,2,3,East,2,73,Tennessee,Wichita St,80,7
2006,2,3,East,3,60,North Carolina,George Mason,65,11
2006,2,3,East,4,64,Illinois,Washington,67,5
2006,2,4,Midwest,1,82,Villanova,Arizona,78,8
2006,2,4,Midwest,2,52,Ohio St,Georgetown,70,7
2006,2,4,Midwest,3,82,Florida,Wisconsin Milwaukee,60,11
2006,2,4,Midwest,4,69,Boston College,Montana,56,12
2006,3,1,South,1,54,Duke,LSU,62,4
2006,3,1,South,2,74,Texas,West Virginia,71,6
2006,3,2,West,1,80,Memphis,Bradley,64,13
2006,3,2,West,2,73,UCLA,Gonzaga,71,3
2006,3,3,East,1,98,Connecticut,Washington,92,5
2006,3,3,East,7,55,Wichita St,George Mason,63,11
2006,3,4,Midwest,1,60,Villanova,Boston College,59,4
2006,3,4,Midwest,7,53,Georgetown,Florida,57,3
2006,4,1,South,4,70,LSU,Texas,60,2
2006,4,2,West,1,45,Memphis,UCLA,50,2
2006,4,3,East,1,84,Connecticut,George Mason,86,11
2006,4,4,Midwest,1,62,Villanova,Florida,75,3
2006,5,1,Final Four,4,45,LSU,UCLA,59,2
2006,5,2,Final Four,11,58,George Mason,Florida,73,3
2006,6,1,Championship,2,57,UCLA,Florida,73,3
2007,1,1,Midwest,1,112,Florida,Jackson St,69,16
2007,1,1,Midwest,2,76,Wisconsin,Texas A&M Corpus Christi,63,15
2007,1,1,Midwest,3,58,Oregon,Miami Ohio,56,14
2007,1,1,Midwest,4,82,Maryland,Davidson,70,13
2007,1,1,Midwest,5,57,Butler,Old Dominion,46,12
2007,1,1,Midwest,6,64,Notre Dame,Winthrop,74,11
2007,1,1,Midwest,7,67,UNLV,Georgia Tech,63,10
2007,1,1,Midwest,8,63,Arizona,Purdue,72,9
2007,1,2,West,1,107,Kansas,Niagara,67,16
2007,1,2,West,2,70,UCLA,Weber St,42,15
2007,1,2,West,3,79,Pittsburgh,Wright St,58,14
2007,1,2,West,4,61,Southern Illinois,Holy Cross,51,13
2007,1,2,West,5,54,Virginia Tech,Illinois,52,12
2007,1,2,West,6,77,Duke,VCU,79,11
2007,1,2,West,7,70,Indiana,Gonzaga,57,10
2007,1,2,West,8,67,Kentucky,Villanova,58,9
2007,1,3,East,1,85,North Carolina,Eastern Kentucky,65,16
2007,1,3,East,2,80,Georgetown,Belmont,55,15
2007,1,3,East,3,70,Washington St,Oral Roberts,54,14
2007,1,3,East,4,79,Texas,New Mexico St,67,13
2007,1,3,East,5,77,USC,Arkansas,60,12
2007,1,3,East,6,77,Vanderbilt,George Washington,44,11
2007,1,3,East,7,84,Boston College,Texas Tech,75,10
2007,1,3,East,8,49,Marquette,Michigan St,61,9
2007,1,4,South,1,78,Ohio St,Central Connecticut St,57,16
2007,1,4,South,2,73,Memphis,North Texas,58,15
2007,1,4,South,3,68,Texas A&M,Pennsylvania,52,14
2007,1,4,South,4,84,Virginia,Albany,57,13
2007,1,4,South,5,121,Tennessee,Long Beach St,86,12
2007,1,4,South,6,78,Louisville,Stanford,58,11
2007,1,4,South,7,77,Nevada,Creighton,71,10
2007,1,4,South,8,77,BYU,Xavier,79,9
2007,2,1,Midwest,1,74,Florida,Purdue,67,9
2007,2,1,Midwest,2,68,Wisconsin,UNLV,74,7
2007,2,1,Midwest,3,75,Oregon,Winthrop,61,11
2007,2,1,Midwest,4,59,Maryland,Butler,62,5
2007,2,2,West,1,88,Kansas,Kentucky,76,8
2007,2,2,West,2,54,UCLA,Indiana,49,7
2007,2,2,West,3,84,Pittsburgh,VCU,79,11
2007,2,2,West,4,63,Southern Illinois,Virginia Tech,48,5
2007,2,3,East,1,81,North Carolina,Michigan St,67,9
2007,2,3,East,2,62,Georgetown,Boston College,55,7
2007,2,3,East,3,74,Washington St,Vanderbilt,78,6
2007,2,3,East,4,68,Texas,USC,87,5
2007,2,4,South,1,78,Ohio St,Xavier,71,9
2007,2,4,South,2,78,Memphis,Nevada,62,7
2007,2,4,South,3,72,Texas A&M,Louisville,69,6
2007,2,4,South,4,74,Virginia,Tennessee,77,5
2007,3,1,Midwest,1,65,Florida,Butler,57,5
2007,3,1,Midwest,7,72,UNLV,Oregon,76,3
2007,3,2,West,1,61,Kansas,Southern Illinois,58,4
2007,3,2,West,2,64,UCLA,Pittsburgh,55,3
2007,3,3,East,1,74,North Carolina,USC,64,5
2007,3,3,East,2,66,Georgetown,Vanderbilt,65,6
2007,3,4,South,1,85,Ohio St,Tennessee,84,5
2007,3,4,South,2,65,Memphis,Texas A&M,64,3
2007,4,1,Midwest,1,85,Florida,Oregon,77,3
2007,4,2,West,1,55,Kansas,UCLA,68,2
2007,4,3,East,1,84,North Carolina,Georgetown,96,2
2007,4,4,South,1,92,Ohio St,Memphis,76,2
2007,5,1,Final Four,1,76,Florida,UCLA,66,2
2007,5,2,Final Four,2,60,Georgetown,Ohio St,67,1
2007,6,1,Championship,1,84,Florida,Ohio St,75,1
2008,1,1,East,1,113,North Carolina,Mount St Marys,74,16
2008,1,1,East,2,72,Tennessee,American,57,15
2008,1,1,East,3,79,Louisville,Boise St,61,14
2008,1,1,East,4,71,Washington St,Winthrop,40,13
2008,1,1,East,5,68,Notre Dame,George Mason,50,12
2008,1,1,East,6,72,Oklahoma,St Josephs,64,11
2008,1,1,East,7,81,Butler,South Alabama,61,10
2008,1,1,East,8,72,Indiana,Arkansas,86,9
2008,1,2,Midwest,1,85,Kansas,Portland St,61,16
2008,1,2,Midwest,2,66,Georgetown,UMBC,47,15
2008,1,2,Midwest,3,71,Wisconsin,Cal St Fullerton,56,14
2008,1,2,Midwest,4,62,Vanderbilt,Siena,83,13
2008,1,2,Midwest,5,69,Clemson,Villanova,75,12
2008,1,2,Midwest,6,67,USC,Kansas St,80,11
2008,1,2,Midwest,7,76,Gonzaga,Davidson,82,10
2008,1,2,Midwest,8,71,UNLV,Kent St,58,9
2008,1,3,South,1,87,Memphis,Texas Arlington,63,16
2008,1,3,South,2,74,Texas,Austin Peay,54,15
2008,1,3,South,3,77,Stanford,Cornell,53,14
2008,1,3,South,4,82,Pittsburgh,Oral Roberts,63,13
2008,1,3,South,5,72,Michigan St,Temple,61,12
2008,1,3,South,6,74,Marquette,Kentucky,66,11
2008,1,3,South,7,78,Miami,St Marys,64,10
2008,1,3,South,8,76,Mississippi St,Oregon,69,9
2008,1,4,West,1,70,UCLA,Mississippi Valley St,29,16
2008,1,4,West,2,71,Duke,Belmont,70,15
2008,1,4,West,3,73,Xavier,Georgia,61,14
2008,1,4,West,4,69,Connecticut,San Diego,70,13
2008,1,4,West,5,99,Drake,Western Kentucky,101,12
2008,1,4,West,6,90,Purdue,Baylor,79,11
2008,1,4,West,7,75,West Virginia,Arizona,65,10
2008,1,4,West,8,62,BYU,Texas A&M,67,9
2008,2,1,East,1,108,North Carolina,Arkansas,77,9
2008,2,1,East,2,76,Tennessee,Butler,71,7
2008,2,1,East,3,78,Louisville,Oklahoma,48,6
2008,2,1,East,4,61,Washington St,Notre Dame,41,5
2008,2,2,Midwest,1,75,Kansas,UNLV,56,8
2008,2,2,Midwest,2,70,Georgetown,Davidson,74,10
2008,2,2,Midwest,3,72,Wisconsin,Kansas St,55,11
2008,2,2,Midwest,13,72,Siena,Villanova,84,12
2008,2,3,South,1,77,Memphis,Mississippi St,74,8
2008,2,3,South,2,75,Texas,Miami,72,7
2008,2,3,South,3,82,Stanford,Marquette,81,6
2008,2,3,South,4,54,Pittsburgh,Michigan St,65,5
2008,2,4,West,1,51,UCLA,Texas A&M,49,9
2008,2,4,West,2,67,Duke,West Virginia,73,7
2008,2,4,West,3,85,Xavier,Purdue,78,6
2008,2,4,West,13,63,San Diego,Western Kentucky,72,12
2008,3,1,East,1,68,North Carolina,Washington St,47,4
2008,3,1,East,2,60,Tennessee,Louisville,79,3
2008,3,2,Midwest,1,72,Kansas,Villanova,57,12
2008,3,2,Midwest,10,73,Davidson,Wisconsin,56,3
2008,3,3,South,1,92,Memphis,Michigan St,74,5
2008,3,3,South,2,82,Texas,Stanford,62,3
2008,3,4,West,1,88,UCLA,Western Kentucky,78,12
2008,3,4,West,7,75,West Virginia,Xavier,79,3
2008,4,1,East,1,83,North Carolina,Louisville,73,3
2008,4,2,Midwest,1,59,Kansas,Davidson,57,10
2008,4,3,South,1,85,Memphis,Texas,67,2
2008,4,4,West,1,76,UCLA,Xavier,57,3
2008,5,1,Final Four,1,66,North Carolina,Kansas,84,1
2008,5,2,Final Four,1,78,Memphis,UCLA,63,1
2008,6,1,Championship,1,75,Kansas,Memphis,68,1
2009,1,1,Midwest,1,74,Louisville,Morehead St,54,16
2009,1,1,Midwest,2,77,Michigan St,Robert Morris,62,15
2009,1,1,Midwest,3,84,Kansas,North Dakota St,74,14
2009,1,1,Midwest,4,69,Wake Forest,Cleveland St,84,13
2009,1,1,Midwest,5,71,Utah,Arizona,84,12
2009,1,1,Midwest,6,60,West Virginia,Dayton,68,11
2009,1,1,Midwest,7,55,Boston College,USC,72,10
2009,1,1,Midwest,8,72,Ohio St,Siena,74,9
2009,1,2,West,1,103,Connecticut,Chattanooga,47,16
2009,1,2,West,2,81,Memphis,Cal St Northridge,70,15
2009,1,2,West,3,78,Missouri,Cornell,59,14
2009,1,2,West,4,71,Washington,Mississippi St,58,13
2009,1,2,West,5,61,Purdue,Northern Iowa,56,12
2009,1,2,West,6,58,Marquette,Utah St,57,11
2009,1,2,West,7,71,California,Maryland,84,10
2009,1,2,West,8,66,BYU,Texas A&M,79,9
2009,1,3,East,1,72,Pittsburgh,East Tennessee St,62,16
2009,1,3,East,2,85,Duke,Binghamton,62,15
2009,1,3,East,3,80,Villanova,American,67,14
2009,1,3,East,4,77,Xavier,Portland St,59,13
2009,1,3,East,5,59,Florida St,Wisconsin,61,12
2009,1,3,East,6,65,UCLA,VCU,64,11
2009,1,3,East,7,76,Texas,Minnesota,62,10
2009,1,3,East,8,77,Oklahoma St,Tennessee,75,9
2009,1,4,South,1,101,North Carolina,Radford,58,16
2009,1,4,South,2,82,Oklahoma,Morgan St,54,15
2009,1,4,South,3,59,Syracuse,Stephen F Austin,44,14
2009,1,4,South,4,77,Gonzaga,Akron,64,13
2009,1,4,South,5,72,Illinois,Western Kentucky,76,12
2009,1,4,South,6,66,Arizona St,Temple,57,11
2009,1,4,South,7,59,Clemson,Michigan,62,10
2009,1,4,South,8,75,LSU,Butler,71,9
2009,2,1,Midwest,1,79,Louisville,Siena,72,9
2009,2,1,Midwest,2,74,Michigan St,USC,69,10
