,Year,Round,Region Number,Region Name,SeedA,ScoreA,TeamA,TeamB,ScoreB,SeedB
148,2004,1,3,South,4,80,Cincinnati,East Tennessee St,77,13
149,2004,1,3,South,5,72,Illinois,Murray St,53,12
150,2004,1,3,South,6,63,North Carolina,Air Force,52,11
151,2004,1,3,South,7,80,Xavier,Louisville,70,10
152,2004,1,3,South,8,80,Seton Hall,Arizona,76,9
153,2004,1,4,West,1,71,Stanford,Texas San Antonio,45,16
154,2004,1,4,West,2,70,Connecticut,Vermont,53,15
155,2004,1,4,West,3,61,NC State,Louisiana Lafayette,52,14
156,2004,1,4,West,4,86,Maryland,UTEP,83,13
157,2004,1,4,West,5,80,Syracuse,BYU,75,12
158,2004,1,4,West,6,71,Vanderbilt,Western Michigan,58,11
159,2004,1,4,West,7,76,DePaul,Dayton,69,10
160,2004,1,4,West,8,65,Alabama,Southern Illinois,64,9
161,2004,2,1,Midwest,1,75,Kentucky,UAB,76,9
162,2004,2,1,Midwest,2,72,Gonzaga,Nevada,91,10
163,2004,2,1,Midwest,3,57,Georgia Tech,Boston College,54,6
164,2004,2,1,Midwest,4,78,Kansas,Pacific,63,12
165,2004,2,2,East,1,70,St Josephs,Texas Tech,65,8
166,2004,2,2,East,2,70,Oklahoma St,Memphis,53,7
167,2004,2,2,East,3,59,Pittsburgh,Wisconsin,55,6
168,2004,2,2,East,4,84,Wake Forest,Manhattan,80,12
169,2004,2,3,South,1,90,Duke,Seton Hall,62,8
170,2004,2,3,South,2,74,Mississippi St,Xavier,89,7
171,2004,2,3,South,3,78,Texas,North Carolina,75,6
172,2004,2,3,South,4,68,Cincinnati,Illinois,92,5
173,2004,2,4,West,1,67,Stanford,Alabama,70,8
174,2004,2,4,West,2,72,Connecticut,DePaul,55,7
175,2004,2,4,West,3,73,NC State,Vanderbilt,75,6
176,2004,2,4,West,4,70,Maryland,Syracuse,72,5
177,2004,3,1,Midwest,4,100,Kansas,UAB,74,9
178,2004,3,1,Midwest,3,72,Georgia Tech,Nevada,67,10
179,2004,3,2,East,1,84,St Josephs,Wake Forest,80,4
180,2004,3,2,East,2,63,Oklahoma St,Pittsburgh,51,3
181,2004,3,3,South,1,72,Duke,Illinois,62,5
182,2004,3,3,South,3,71,Texas,Xavier,79,7
183,2004,3,4,West,5,71,Syracuse,Alabama,80,8
184,2004,3,4,West,2,73,Connecticut,Vanderbilt,53,6
185,2004,4,1,Midwest,3,79,Georgia Tech,Kansas,71,4
186,2004,4,2,East,1,62,St Josephs,Oklahoma St,64,2
187,2004,4,3,South,1,66,Duke,Xavier,63,7
188,2004,4,4,West,2,87,Connecticut,Alabama,71,8
189,2004,5,1,Final Four,2,65,Oklahoma St,Georgia Tech,67,3
190,2004,5,2,Final Four,1,78,Duke,Connecticut,79,2
191,2004,6,1,Championship,2,82,Connecticut,Georgia Tech,73,3
192,2005,0,0,First Four,16,79,Oakland,Alabama A&M,69,16
193,2005,1,1,Midwest,1,67,Illinois,Fairleigh Dickinson,55,16
194,2005,1,1,Midwest,2,63,Oklahoma St,Southeastern Louisiana,50,15
195,2005,1,1,Midwest,3,66,Arizona,Utah St,53,14
196,2005,1,1,Midwest,4,85,Boston College,Pennsylvania,65,13
197,2005,1,1,Midwest,5,73,Alabama,Wisconsin Milwaukee,83,12
198,2005,1,1,Midwest,6,68,LSU,UAB,82,11
199,2005,1,1,Midwest,7,65,Southern Illinois,St Marys,56,10
200,2005,1,1,Midwest,8,57,Texas,Nevada,61,9
201,2005,1,2,West,1,88,Washington,Montana,77,16
202,2005,1,2,West,2,70,Wake Forest,Chattanooga,54,15
203,2005,1,2,West,3,74,Gonzaga,Winthrop,64,14
204,2005,1,2,West,4,68,Louisville,Louisiana Lafayette,62,13
205,2005,1,2,West,5,80,Georgia Tech,George Washington,68,12
206,2005,1,2,West,6,78,Texas Tech,UCLA,66,11
207,2005,1,2,West,7,63,West Virginia,Creighton,61,10
208,2005,1,2,West,8,79,Pacific,Pittsburgh,71,9
209,2005,1,3,East,1,96,North Carolina,Oakland,68,16
210,2005,1,3,East,2,77,Connecticut,Central Florida,71,15
211,2005,1,3,East,3,63,Kansas,Bucknell,64,14
212,2005,1,3,East,4,67,Florida,Ohio,62,13
213,2005,1,3,East,5,55,Villanova,New Mexico,47,12
214,2005,1,3,East,6,57,Wisconsin,Northern Iowa,52,11
215,2005,1,3,East,7,63,Charlotte,NC State,75,10
216,2005,1,3,East,8,53,Minnesota,Iowa St,64,9
217,2005,1,4,South,1,63,Duke,Delaware St,46,16
218,2005,1,4,South,2,72,Kentucky,Eastern Kentucky,64,15
219,2005,1,4,South,3,84,Oklahoma,Niagara,67,14
220,2005,1,4,South,4,57,Syracuse,Vermont,60,13
221,2005,1,4,South,5,89,Michigan St,Old Dominion,81,12
222,2005,1,4,South,6,60,Utah,UTEP,54,11
223,2005,1,4,South,7,76,Cincinnati,Iowa,64,10
224,2005,1,4,South,8,70,Stanford,Mississippi St,93,9
225,2005,2,1,Midwest,1,71,Illinois,Nevada,59,9
226,2005,2,1,Midwest,2,85,Oklahoma St,Southern Illinois,77,7
227,2005,2,1,Midwest,3,85,Arizona,UAB,63,11
228,2005,2,1,Midwest,4,75,Boston College,Wisconsin Milwaukee,83,12
229,2005,2,2,West,1,97,Washington,Pacific,79,8
230,2005,2,2,West,2,105,Wake Forest,West Virginia,111,7
231,2005,2,2,West,3,69,Gonzaga,Texas Tech,71,6
232,2005,2,2,West,4,76,Louisville,Georgia Tech,54,5
233,2005,2,3,East,1,92,North Carolina,Iowa St,65,9
234,2005,2,3,East,2,62,Connecticut,NC State,65,10
235,2005,2,3,East,6,71,Wisconsin,Bucknell,62,14
236,2005,2,3,East,4,65,Florida,Villanova,76,5
237,2005,2,4,South,1,63,Duke,Mississippi St,55,9
238,2005,2,4,South,2,69,Kentucky,Cincinnati,60,7
239,2005,2,4,South,3,58,Oklahoma,Utah,67,6
240,2005,2,4,South,5,72,Michigan St,Vermont,61,13
241,2005,3,1,Midwest,1,77,Illinois,Wisconsin Milwaukee,63,12
242,2005,3,1,Midwest,2,78,Oklahoma St,Arizona,79,3
243,2005,3,2,West,1,79,Washington,Louisville,93,4
244,2005,3,2,West,6,60,Texas Tech,West Virginia,65,7
245,2005,3,3,East,1,67,North Carolina,Villanova,66,5
246,2005,3,3,East,6,65,Wisconsin,NC State,56,10
247,2005,3,4,South,1,68,Duke,Michigan St,78,5
248,2005,3,4,South,2,62,Kentucky,Utah,52,6
249,2005,4,1,Midwest,1,90,Illinois,Arizona,89,3
250,2005,4,2,West,4,93,Louisville,West Virginia,85,7
251,2005,4,3,East,1,88,North Carolina,Wisconsin,82,6
252,2005,4,4,South,2,88,Kentucky,Michigan St,94,5
253,2005,5,1,Final Four,1,72,Illinois,Louisville,57,4
254,2005,5,2,Final Four,1,87,North Carolina,Michigan St,71,5
255,2005,6,1,Championship,1,75,North Carolina,Illinois,70,1
256,2006,0,0,First Four,16,71,Monmouth,Hampton,49,16
257,2006,1,1,South,1,70,Duke,Southern,54,16
258,2006,1,1,South,2,60,Texas,Pennsylvania,52,15
259,2006,1,1,South,3,63,Iowa,Northwestern St,64,14
260,2006,1,1,South,4,80,LSU,Iona,64,13
261,2006,1,1,South,5,58,Syracuse,Texas A&M,66,12
262,2006,1,1,South,6,64,West Virginia,Southern Illinois,46,11
263,2006,1,1,South,7,52,California,NC State,58,10
264,2006,1,1,South,8,88,George Washington,UNC Wilmington,85,9
265,2006,1,2,West,1,94,Memphis,Oral Roberts,78,16
266,2006,1,2,West,2,78,UCLA,Belmont,44,15
267,2006,1,2,West,3,79,Gonzaga,Xavier,75,14
268,2006,1,2,West,4,73,Kansas,Bradley,77,13
269,2006,1,2,West,5,79,Pittsburgh,Kent St,64,12
270,2006,1,2,West,6,87,Indiana,San Diego St,83,11
271,2006,1,2,West,7,85,Marquette,Alabama,90,10
272,2006,1,2,West,8,55,Arkansas,Bucknell,59,9
273,2006,1,3,East,1,72,Connecticut,Albany,59,16
274,2006,1,3,East,2,63,Tennessee,Winthrop,61,15
275,2006,1,3,East,3,69,North Carolina,Murray St,65,14
276,2006,1,3,East,4,78,Illinois,Air Force,69,13
277,2006,1,3,East,5,75,Washington,Utah St,61,12
278,2006,1,3,East,6,65,Michigan St,George Mason,75,11
279,2006,1,3,East,7,86,Wichita St,Seton Hall,66,10
280,2006,1,3,East,8,69,Kentucky,UAB,64,9
281,2006,1,4,Midwest,1,58,Villanova,Monmouth,45,16
282,2006,1,4,Midwest,2,70,Ohio St,Davidson,62,15
283,2006,1,4,Midwest,3,76,Florida,South Alabama,50,14
284,2006,1,4,Midwest,4,88,Boston College,Pacific,76,13
285,2006,1,4,Midwest,5,79,Nevada,Montana,87,12
286,2006,1,4,Midwest,6,74,Oklahoma,Wisconsin Milwaukee,82,11
287,2006,1,4,Midwest,7,54,Georgetown,Northern Iowa,49,10
288,2006,1,4,Midwest,8,94,Arizona,Wisconsin,75,9
289,2006,2,1,South,1,74,Duke,George Washington,61,8
290,2006,2,1,South,2,75,Texas,NC State,54,10
291,2006,2,1,South,6,67,West Virginia,Northwestern St,54,14
292,2006,2,1,South,4,58,LSU,Texas A&M,57,12
293,2006,2,2,West,1,72,Memphis,Bucknell,56,9
294,2006,2,2,West,2,62,UCLA,Alabama,59,10
295,2006,2,2,West,3,90,Gonzaga,Indiana,80,6
296,2006,2,2,West,5,66,Pittsburgh,Bradley,72,13
297,2006,2,3,East,1,87,Connecticut,Kentucky,83,8
298,2006,2,3,East,2,73,Tennessee,Wichita St,80,7
299,2006,2,3,East,3,60,North Carolina,George Mason,65,11
300,2006,2,3,East,4,64,Illinois,Washington,67,5
301,2006,2,4,Midwest,1,82,Villanova,Arizona,78,8
302,2006,2,4,Midwest,2,52,Ohio St,Georgetown,70,7
303,2006,2,4,Midwest,3,82,Florida,Wisconsin Milwaukee,60,11
304,2006,2,4,Midwest,4,69,Boston College,Montana,56,12
305,2006,3,1,South,1,54,Duke,LSU,62,4
306,2006,3,1,South,2,74,Texas,West Virginia,71,6
307,2006,3,2,West,1,80,Memphis,Bradley,64,13
308,2006,3,2,West,2,73,UCLA,Gonzaga,71,3
309,2006,3,3,East,1,98,Connecticut,Washington,92,5
310,2006,3,3,East,7,55,Wichita St,George Mason,63,11
311,2006,3,4,Midwest,1,60,Villanova,Boston College,59,4
312,2006,3,4,Midwest,3,57,Florida,Georgetown,53,7
313,2006,4,1,South,2,60,Texas,LSU,70,4
314,2006,4,2,West,1,45,Memphis,UCLA,50,2
315,2006,4,3,East,1,84,Connecticut,George Mason,86,11
316,2006,4,4,Midwest,1,62,Villanova,Florida,75,3
317,2006,5,1,Final Four,2,59,UCLA,LSU,45,4
318,2006,5,2,Final Four,3,73,Florida,George Mason,58,11
319,2006,6,1,Championship,2,57,UCLA,Florida,73,3
320,2007,0,0,First Four,16,69,Florida A&M,Niagara,77,16
321,2007,1,1,Midwest,1,112,Florida,Jackson St,69,16
322,2007,1,1,Midwest,2,76,Wisconsin,Texas A&M Corpus Christi,63,15
323,2007,1,1,Midwest,3,58,Oregon,Miami Ohio,56,14
324,2007,1,1,Midwest,4,82,Maryland,Davidson,70,13
325,2007,1,1,Midwest,5,57,Butler,Old Dominion,46,12
326,2007,1,1,Midwest,6,64,Notre Dame,Winthrop,74,11
327,2007,1,1,Midwest,7,67,UNLV,Georgia Tech,63,10
328,2007,1,1,Midwest,8,63,Arizona,Purdue,72,9
329,2007,1,2,West,1,107,Kansas,Niagara,67,16
330,2007,1,2,West,2,70,UCLA,Weber St,42,15
331,2007,1,2,West,3,79,Pittsburgh,Wright St,58,14
332,2007,1,2,West,4,61,Southern Illinois,Holy Cross,51,13
333,2007,1,2,West,5,54,Virginia Tech,Illinois,52,12
334,2007,1,2,West,6,77,Duke,VCU,79,11
335,2007,1,2,West,7,70,Indiana,Gonzaga,57,10
336,2007,1,2,West,8,67,Kentucky,Villanova,58,9
337,2007,1,3,East,1,85,North Carolina,Eastern Kentucky,65,16
338,2007,1,3,East,2,80,Georgetown,Belmont,55,15
339,2007,1,3,East,3,70,Washington St,Oral Roberts,54,14
340,2007,1,3,East,4,79,Texas,New Mexico St,67,13
341,2007,1,3,East,5,77,USC,Arkansas,60,12
342,2007,1,3,East,6,77,Vanderbilt,George Washington,44,11
343,2007,1,3,East,7,84,Boston College,Texas Tech,75,10
344,2007,1,3,East,8,49,Marquette,Michigan St,61,9
345,2007,1,4,South,1,78,Ohio St,Central Connecticut St,57,16
346,2007,1,4,South,2,73,Memphis,North Texas,58,15
347,2007,1,4,South,3,68,Texas A&M,Pennsylvania,52,14
348,2007,1,4,South,4,84,Virginia,Albany,57,13
349,2007,1,4,South,5,121,Tennessee,Long Beach St,86,12
350,2007,1,4,South,6,78,Louisville,Stanford,58,11
351,2007,1,4,South,7,77,Nevada,Creighton,71,10
352,2007,1,4,South,8,77,BYU,Xavier,79,9
353,2007,2,1,Midwest,1,74,Florida,Purdue,67,9
354,2007,2,1,Midwest,2,68,Wisconsin,UNLV,74,7
355,2007,2,1,Midwest,3,75,Oregon,Winthrop,61,11
356,2007,2,1,Midwest,4,59,Maryland,Butler,62,5
357,2007,2,2,West,1,88,Kansas,Kentucky,76,8
358,2007,2,2,West,2,54,UCLA,Indiana,49,7
359,2007,2,2,West,3,84,Pittsburgh,VCU,79,11
360,2007,2,2,West,4,63,Southern Illinois,Virginia Tech,48,5
361,2007,2,3,East,1,81,North Carolina,Michigan St,67,9
362,2007,2,3,East,2,62,Georgetown,Boston College,55,7
363,2007,2,3,East,3,74,Washington St,Vanderbilt,78,6
364,2007,2,3,East,4,68,Texas,USC,87,5
365,2007,2,4,South,1,78,Ohio St,Xavier,71,9
366,2007,2,4,South,2,78,Memphis,Nevada,62,7
367,2007,2,4,South,3,72,Texas A&M,Louisville,69,6
368,2007,2,4,South,4,74,Virginia,Tennessee,77,5
369,2007,3,1,Midwest,1,65,Florida,Butler,57,5
370,2007,3,1,Midwest,3,76,Oregon,UNLV,72,7
371,2007,3,2,West,1,61,Kansas,Southern Illinois,58,4
372,2007,3,2,West,2,64,UCLA,Pittsburgh,55,3
373,2007,3,3,East,1,74,North Carolina,USC,64,5
374,2007,3,3,East,2,66,Georgetown,Vanderbilt,65,6
375,2007,3,4,South,1,85,Ohio St,Tennessee,84,5
376,2007,3,4,South,2,65,Memphis,Texas A&M,64,3
377,2007,4,1,Midwest,1,85,Florida,Oregon,77,3
378,2007,4,2,West,1,55,Kansas,UCLA,68,2
379,2007,4,3,East,1,84,North Carolina,Georgetown,96,2
380,2007,4,4,South,1,92,Ohio St,Memphis,76,2
381,2007,5,1,Final Four,1,76,Florida,UCLA,66,2
382,2007,5,2,Final Four,1,67,Ohio St,Georgetown,60,2
383,2007,6,1,Championship,1,75,Ohio St,Florida,84,1
384,2008,0,0,First Four,16,60,Coppin St,Mount St Marys,69,16
385,2008,1,1,East,1,113,North Carolina,Mount St Marys,74,16
386,2008,1,1,East,2,72,Tennessee,American,57,15
387,2008,1,1,East,3,79,Louisville,Boise St,61,14
388,2008,1,1,East,4,71,Washington St,Winthrop,40,13
389,2008,1,1,East,5,68,Notre Dame,George Mason,50,12
390,2008,1,1,East,6,72,Oklahoma,St Josephs,64,11
391,2008,1,1,East,7,81,Butler,South Alabama,61,10
392,2008,1,1,East,8,72,Indiana,Arkansas,86,9
393,2008,1,2,Midwest,1,85,Kansas,Portland St,61,16
394,2008,1,2,Midwest,2,66,Georgetown,UMBC,47,15
395,2008,1,2,Midwest,3,71,Wisconsin,Cal St Fullerton,56,14
396,2008,1,2,Midwest,4,62,Vanderbilt,Siena,83,13
397,2008,1,2,Midwest,5,69,Clemson,Villanova,75,12
398,2008,1,2,Midwest,6,67,USC,Kansas St,80,11
399,2008,1,2,Midwest,7,76,Gonzaga,Davidson,82,10
400,2008,1,2,Midwest,8,71,UNLV,Kent St,58,9
401,2008,1,3,South,1,87,Memphis,Texas Arlington,63,16
402,2008,1,3,South,2,74,Texas,Austin Peay,54,15
403,2008,1,3,South,3,77,Stanford,Cornell,53,14
404,2008,1,3,South,4,82,Pittsburgh,Oral Roberts,63,13
405,2008,1,3,South,5,72,Michigan St,Temple,61,12
406,2008,1,3,South,6,74,Marquette,Kentucky,66,11
407,2008,1,3,South,7,78,Miami,St Marys,64,10
408,2008,1,3,South,8,76,Mississippi St,Oregon,69,9
409,2008,1,4,West,1,70,UCLA,Mississippi Valley St,29,16
410,2008,1,4,West,2,71,Duke,Belmont,70,15
411,2008,1,4,West,3,73,Xavier,Georgia,61,14
412,2008,1,4,West,4,69,Connecticut,San Diego,70,13
413,2008,1,4,West,5,99,Drake,Western Kentucky,101,12
414,2008,1,4,West,6,90,Purdue,Baylor,79,11
415,2008,1,4,West,7,75,West Virginia,Arizona,65,10
416,2008,1,4,West,8,62,BYU,Texas A&M,67,9
417,2008,2,1,East,1,108,North Carolina,Arkansas,77,9
418,2008,2,1,East,2,76,Tennessee,Butler,71,7
419,2008,2,1,East,3,78,Louisville,Oklahoma,48,6
420,2008,2,1,East,4,61,Washington St,Notre Dame,41,5
421,2008,2,2,Midwest,1,75,Kansas,UNLV,56,8
422,2008,2,2,Midwest,2,70,Georgetown,Davidson,74,10
423,2008,2,2,Midwest,3,72,Wisconsin,Kansas St,55,11
424,2008,2,2,Midwest,12,84,Villanova,Siena,72,13
425,2008,2,3,South,1,77,Memphis,Mississippi St,74,8
426,2008,2,3,South,2,75,Texas,Miami,72,7
427,2008,2,3,South,3,82,Stanford,Marquette,81,6
428,2008,2,3,South,4,54,Pittsburgh,Michigan St,65,5
429,2008,2,4,West,1,51,UCLA,Texas A&M,49,9
430,2008,2,4,West,2,67,Duke,West Virginia,73,7
431,2008,2,4,West,3,85,Xavier,Purdue,78,6
432,2008,2,4,West,12,72,Western Kentucky,San Diego,63,13
433,2008,3,1,East,1,68,North Carolina,Washington St,47,4
434,2008,3,1,East,2,60,Tennessee,Louisville,79,3
435,2008,3,2,Midwest,1,72,Kansas,Villanova,57,12
436,2008,3,2,Midwest,3,56,Wisconsin,Davidson,73,10
437,2008,3,3,South,1,92,Memphis,Michigan St,74,5
438,2008,3,3,South,2,82,Texas,Stanford,62,3
439,2008,3,4,West,1,88,UCLA,Western Kentucky,78,12
440,2008,3,4,West,3,79,Xavier,West Virginia,75,7
441,2008,4,1,East,1,83,North Carolina,Louisville,73,3
442,2008,4,2,Midwest,1,59,Kansas,Davidson,57,10
